,price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Used For,Land Mark,Features
38,"रू. 4,50,00,000",HB-3F6594,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",Available,Negotiable,10 months ago,2023-12-07,House - Individual,2,2.5,6,6,Pitched,5.3,5.3 aana,Non,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/brand-new-25-stored-house-on-sale-at-hattigauda-in-kathmandu/3f65946b010149f9a385bda9ceedface,,,"Parking, peaceful Area,"
39,"रू. 4,60,00,000",HB-B1E182,"Tokha, काठमाडौं, Bagmati Pradesh, नेपाल",Not Available,Negotiable,11 months ago,2023-08-31,House - Individual,3,3,4,6,Pitched,9.2,1711.25,Non,3,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/b1e1824d086d455d8b3fdbe3acf50688,15 yrs,,"parking( enough), 24hr water N हाईट"
40,"रू. 3,00,00,000",HB-6E5ECD,"Gusingal (Sanepa), Lalitpur",Not Available,Negotiable,7 days ago,2023-07-08,HouseIndividual,2,2.5,4,5,Pitched,3,1500,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-laliatpur-sanepa-in-lalitpur/6e5ecdab7fba4ebeb0a5896589c1d2d9,,Near sanepa Kharibot,
41,"रू. 2,07,00,000",HB-429383,"Aakashedhara, Mandikhatar, Budhanilkantha Municipality, Kathmandu",Not Available,Negotiable,8 days ago,2023-07-08,House - Individual,1,3,4,12,Pitched,3,1100,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/42938374206640f8afcd603a3f410484,,,
42,"रू. 2,60,00,000",HB-4AC709,"Tikathali (Mahalaxmi), Lalitpur",Not Available,Not Negotiable,1 months ago,2023-07-02,HouseIndividual,1,3,1,1,Gravel,0-3-1-0,1,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-tikathali-lalitpur-in-lalitpur/4ac7091531fd470290205b4d0a53da6f,,,
43,"रू. 7,20,00,000",HB-327A05,"chabil cabahil, Chabahil, Kathmandu",Not Available,Negotiable,3 months ago,2023-12-15,HouseIndividual,0,2.5,4,10,Pitched,8aana,0,Non,3,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chabahil-mitrapark-in-kathmandu/327a050eeda54539a820371b3554bda5,,,
44,"रू. 3,00,00,000",HB-A0B0A3,"Lokanthali, Bhaktapur",Not Available,Not Negotiable,4 months ago,2023-06-23,HouseIndividual,1,3.5,1,1,Pitched,0-2-2-0,1000,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-lokanthali-in-bhaktapur/a0b0a32670454217bcaffba695ff0234,,,
45,"रू. 3,25,00,000",HB-84DD5E,"Kailash Chok, Galkopakha, Kathmandu",Not Available,Negotiable,5 months ago,2025-01-22,House - Individual,5,3,4,13,Gravel,4,40,Semi,3,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/house-at-sale-at-center-of-kathmandu-kapurdhara-in-kathmandu/84dd5e0651f34c1db67c9f772663660b,,,All the rooms are altogether in the whole house
46,"रू. 1,80,00,000",HB-503101,"Sirutar Lokanthali Kaushaltar Gathaghar Tikathali, Balkot Area, Bhaktapur",Not Available,Negotiable,6 months ago,2023-12-11,HouseIndividual,1,3,4,5,Pitched,3.5,2600,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-balkot-bhaktapur-in-bhaktapur/503101d653784c02ae39c6a016e82d32,,,
47,"रू. 2,40,00,000",HB-E629AD,"Tikathali (Mahalaxmi), Lalitpur",Not Available,Negotiable,4 months ago,2024-03-15,HouseIndividual,2,2.5,4,6,Gravel,3.75,1200,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/e629adf8304248b9bf6cd4c5822fd002,residential,,ready to move in
