,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
842,4000000000000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,3,3,1454.56,13.0,Deuba Chowk
845,42500000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,5,4,1369,13.0,budhanilkantha mandir
848,31500000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,5,9,1369,13.0,Bhangal
856,35200000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",2.5,4,5,1390.39,13.0,one car parking
862,24000000.0,"Buddha Nagar (New Baneshwar), Kathmandu",2.5,2,5,1176.48,12.0,Near alfabeta complex
868,34500000.0,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",2.5,3 with one attached,3,1369,13.0,Nearest point Italitar
879,45000000.0,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",2.5,3,3,1369,20.0,Shanta Colony
887,30000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,3,4,1711.25,13.0,1km From Deuwa Chowk
888,35000000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",2.5,4,5,1369,13.0,pasikot futsal
896,14000000.0,"Bhaktapur City, Bhaktapur",2.5,2,2,855.625,13.0,Shreejana nagar
900,36000000.0,"nakkhu, Nakhu, Lalitpur",2.5,5,4,1454.5625,13.0,500m from medicity
907,3300000000000000.0,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,3,3,1197.875,13.0,Gokul Awas
913,19000000.0,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,3,4,1369,8.0,80m far from main highway
920,51000000.0,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,5,7,1916.6,13.0,2.5km From Ringroad
924,2e+17,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,8,8,5561.56,13.0,Awas Chetra
930,47000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,5,4,2053.5,13.0,Near by park village
931,7000000000000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,4,5,2738,13.0,Near Sher Bahadur Deuba House.
933,100000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,6,5,3764.75,13.0,budhanilkantha prime location
944,22000000.0,"Boshigaun Ring Road, Boshigaun, Chandragiri, Kathmandu, Bagmati Pradesh, 44618, Nepal",2.5,3,6,1197.875,13.0,Huge Buddha Statue
