Price,Views,Land Area,Road Access,Facing,Floor,Parking,Bedroom,Bathroom,Furnish Status,Amenity,City,district
26500000.0,93 ,3.2,13.0,,2.5,3.0,6.0,4.0,Semi-Furnished,,Dhalmal, Kathmandu
19500000.0,253,4.0,13.0,South,2.5,2.0,5.0,4.0,Semi-Furnished,,Imadol, Lalitpur
85000000.0,134,7.3,17.0,North-East,2.5,7.0,5.0,4.0,Full-Furnished,,Sainbu, Lalitpur
23000000.0,143,3.0,27.0,West,2.0,1.0,3.0,2.0,Un-Furnished,,Saraswotinagar, Kathmandu
32500000.0,183,4.0,13.0,North,2.5,2.0,5.0,5.0,Full-Furnished,,Thecho, Lalitpur
26000000.0,180,4.0,10.0,South,2.5,2.0,4.0,3.0,Full-Furnished,,Thecho, Lalitpur
29500000.0,129,3.2,13.0,North,2.5,4.0,8.0,3.0,Semi-Furnished,"Earthquake Resistant,Drainage,Reserve Tank,Balcony,Terrace,Marbel,Parking,Well,Solar,Internet,Prayer Room,+ 3 See More",Imadol, Lalitpur
22500000.0,677,3.0,13.0,East,2.5,2.0,4.0,3.0,Un-Furnished,,Bhelpa, Lalitpur
19000000.0,592,2.3,13.0,South,2.5,4.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Balcony,Reserve Tank,Well,Dining Room,Bed Room,Bathroom,Living Room,+ 5 See More",Lalitpur,
100000000.0,588,16.0,32.0,South-West,2.5,1.0,8.0,5.0,Un-Furnished,"Marbel,Drainage,Drinking Water,Parking,Solar,Terrace,Boring Water,Bed Room,Dining Room,Bathroom,Living Room,+ 2 See More",Taukhel, Lalitpur
68000000.0,324,8.2,14.0,East,2.5,4.0,6.0,3.0,Un-Furnished,,Baluwatar, Kathmandu
15500000.0,173,2.2,5.0,South,1.0,1.0,4.0,2.0,Full-Furnished,,Dhapasi, Kathmandu
22000000.0,211,3.0,13.0,South-East,2.5,4.0,6.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Drinking Water,Reserve Tank,Well,Modular Kitchen,Bed Room,Bathroom,Prayer Room,+ 4 See More",Tikathali, Lalitpur
43000000.0,647,7.0,16.0,,2.5,,5.0,4.0,,,Gamcha, Bhaktapur
34500000.0,1.3,3.2,13.0,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
25000000.0,171,3.2,13.0,East,2.5,,6.0,3.0,,,Hattidanda, Kathmandu
36500000.0,256,5.1,14.0,North-East,2.5,,5.0,3.0,,,Sainbu, Lalitpur
54900000.0,184,7.0,13.0,North-East,2.0,,5.0,5.0,,,Golfutar, Kathmandu
75000000.0,56 ,9.2,13.0,,2.5,,6.0,6.0,,,Dhapasi, Kathmandu
7000000.0,258,6.0,11.0,,2.0,,,,,,Chhauni, Kathmandu
38000000.0,164,4.0,20.0,West,3.5,,,,,,Dhapakhel, Lalitpur
67500000.0,266,7.0,26.0,East,2.5,,5.0,4.0,,,Mid Baneshwor, Kathmandu
40000000.0,159,5.2,13.0,West,2.5,,,,,,Gatthaghar, Bhaktapur
55000000.0,154,5.2,15.0,North-East,2.5,,5.0,5.0,,,Hepali Height, Kathmandu
31000000.0,148,4.3,13.0,South-East,2.0,,,,,,Kapan, Kathmandu
22000000.0,172,3.3,13.0,South-East,2.5,,4.0,3.0,,,Thulobharyang, Kathmandu
33000000.0,194,3.2,20.0,South,2.5,,6.0,4.0,,,Nakhipot, Lalitpur
29500000.0,320,4.2,13.0,North-West,2.5,,4.0,4.0,,,Satungal, Kathmandu
52500000.0,305,7.2,15.0,,4.0,,,,,,Satdobato, Lalitpur
39900000.0,78 ,3.4,16.0,North-West,2.5,,6.0,3.0,,,Imadol, Lalitpur
55000000.0,138,7.0,20.0,South,3.0,,5.0,5.0,,,Hattiban, Lalitpur
27500000.0,91 ,3.1,20.0,South,2.5,,7.0,5.0,,,Imadol, Lalitpur
32000000.0,525,3.1,13.0,North,2.5,,5.0,6.0,,,Bhangal , Kathmandu
35000000.0,512,5.0,20.0,West,2.5,,5.0,4.0,,,Naya Basti, Kathmandu
28000000.0,245,3.0,10.0,South-East,3.5,,,4.0,,,Basundhara, Kathmandu
38500000.0,316,4.0,13.0,,2.5,,,,,,Sukedhara, Kathmandu
25000000.0,207,3.0,13.0,,2.5,,,,,,Kapan, Kathmandu
