,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
652,Rs. 2.05 Cr,368,3.0 ,20 Feet,South-East,3.0,,4.0,3.0,,"Earthquake Resistant,Marbel,Solar,Garden,Modular Kitchen,Parking,Playground,Internet,Drinking Water,Bathroom,Drainage,+ 1 See More",Katunje, Bhaktapur
653,Rs. 5 Cr,287,5.1 ,13 Feet,South,2.5,,4.0,5.0,,"Marbel,Parquet,AirCon,Solar,CC Camera,Water Purifier,Playground,TV,Drainage,Bathroom,Drinking Water,+ 2 See More",Rudreshwor, Kathmandu
654,Rs. 2.9 Cr,367,3.2 ,16 Feet,West,2.5,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,CC Camera,Water Purifier,Drinking Water,Internet,Modular Kitchen,Parking,Playground,AirCon,+ 3 See More",Golfutar, Kathmandu
655,Rs. 2.9 Cr,204,3.2 ,12-15 Feet,South-East,2.5,,3.0,3.0,,,Dhapakhel, Lalitpur
658,Rs. 2.5 Cr,213,4.1 ,12 Feet,West,2.5,,6.0,5.0,,,Bauthali, Kathmandu
661,Rs. 2.7 Cr,229,2.5 ,28 Feet,East,4.0,,,,,,Narephat, Kathmandu
662,Rs. 2.95 Cr,228,3.2 ,13 Feet,East,2.0,,5.0,5.0,,,Tikathali, Lalitpur
663,Rs. 3 Cr,431,4.2 ,4 Feet,South,1.0,,2.0,2.0,,,Kalopool, Kathmandu
664,Rs. 6.25 Cr,755,5.3 ,16 Feet,South-West,2.5,,3.0,3.0,,"Marbel,Parquet,Gym,Sofa,AirCon,Garden,Bed Room,Water Purifier,Modular Kitchen,Power Backup,Internet,+ 7 See More",Bhaisepati, Lalitpur
665,Rs. 3.9 Cr,456,5.0 ,13 Feet,East,2.5,,4.0,4.0,,,Nakkhu, Lalitpur
666,Rs. 10 Cr,309,12.0 ,13 Feet,East,2.0,,,,,,Mid Baneshwor, Kathmandu
667,Rs. 3.1 Cr,981,4.0 ,13 Feet,South-East,2.5,,5.0,4.0,,,Sitapaila, Kathmandu
668,Rs. 2.2 Cr,297,3.1 ,12 Feet,East,3.0,,5.0,,,,Magar Gaun, Bhaktapur
669,Rs. 1.72 Cr,262,3.0 ,10 Feet,South,3.0,,5.0,,,,Khahare, Kathmandu
670,Rs. 3.25 Cr,154,3.5 ,12 Feet,East,3.0,,6.0,,,,Kadaghari, Kathmandu
671,Rs. 2.75 Cr,280,3.2 ,4 Feet,West,3.0,,6.0,,,,Kamerotar, Bhaktapur
673,Rs. 2.6 Cr,135,3.1 ,13 Feet,North,2.0,,4.0,5.0,,,Imadol, Lalitpur
674,Rs. 4.1 Cr,316,4.0 ,13 Feet,South-West,2.0,,5.0,5.0,,,Bhaisepati, Lalitpur
675,Rs. 4.45 Cr,380,5.0 ,14 Feet,,2.5,,5.0,5.0,,,Mandikatar, Kathmandu
677,Rs. 4 Cr,336,4.3 ,13 Feet,West,2.5,,5.0,4.0,,,Budhanilkantha, Kathmandu
678,Rs. 4.5 Cr,165,5.3 ,20 Feet,East,3.5,,,,,,Tilingtar, Kathmandu
679,Rs. 9.5 Cr,178,6.1 ,0 Feet,South-West,3.5,,23.0,8.0,,,Naya Bazar, Kathmandu
682,Rs. 2.9 Cr,310,4.0 ,10 Feet,South-East,3.0,,,,,,Paiyuntar, Kathmandu
683,Rs. 1.75 Cr,246,3.0 ,8-10 Feet,,2.5,,,,,,Chandragiri, Kathmandu
685,Rs. 1.7 Cr,530,3.0 ,10 Feet,West,3.0,,4.0,,,,Tokha, Kathmandu
686,Rs. 3.25 Cr,523,3.3 ,13 Feet,South-West,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
687,Rs. 2.6 Cr,307,3.5 ,0 Feet,,2.5,,,,,,High Vision Colony, Kathmandu
689,Rs. 4.3 Cr,495,5.0 ,18 Feet,South,2.5,,5.0,3.0,,,Nakkhu, Lalitpur
690,Rs. 6.5 Cr,265,12.0 ,13 Feet,South,3.0,,7.0,3.0,,,Imadol, Lalitpur
692,Rs. 2.65 Cr,409,4.0 ,12 Feet,North-East,4.0,,7.0,,,,Buddhanagar, Kathmandu
693,Rs. 1.55 Cr,382,3.3 ,8 Feet,East,2.0,,1.0,,,,Tahachal, Kathmandu
694,Rs. 3.8 Cr,277,4.0 ,22 Feet,South,4.0,,18.0,,,,Suryabinayak, Bhaktapur
695,Rs. 3.85 Cr,285,4.2 ,12-15 Feet,South,2.0,,3.0,4.0,,,Bhaisepati, Lalitpur
697,Rs. 3.75 Cr,722,7.0 ,13 Feet,South,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
698,Rs. 2 Cr,528,4.0 ,12 Feet,North-West,3.0,,4.0,,,,Sitapaila, Kathmandu
699,Rs. 90 Lac,307,3.0 ,4 Feet,North,1.0,,2.0,,,,Kavresthali, Kathmandu
700,Rs. 3.7 Cr,313,4.0 ,10 Feet,North,3.0,,6.0,4.0,,,Syuchatar, Kathmandu
701,Rs. 2.65 Cr,755,3.0 kattha,13 Feet,North,3.0,,6.0,,,,Koteshwor, Kathmandu
702,Rs. 1.45 Cr/aana,754,11.0 ,13 Feet,West,3.0,,11.0,,,,Bouddha, Kathmandu
703,Rs. 2.35 Cr,147,5.0 ,10-12 Feet,South,2.0,,,,,,Naya Basti, Kathmandu
704,Rs. 5.5 Cr,614,7.5 ,15-24 Feet,South-West,3.5,,7.0,8.0,,,Budhanilkantha, Kathmandu
706,Rs. 5.35 Cr,704,7.1 ,13-24 Feet,South-West,3.5,,7.0,5.0,,,Pasikot, Kathmandu
707,Rs. 14 Cr,310,5.0 ,22 Feet,East,5.5,,,10.0,,,Kupandole, Lalitpur
709,Rs. 5 Cr,336,4.0 ,12-15 Feet,,2.5,,5.0,6.0,,,Bhaisepati, Lalitpur
710,Rs. 3.5 Cr,580,3.3 ,22 Feet,,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
712,Rs. 14 Cr,96 ,5.0 ,22 Feet,East,5.0,,,,,,Kupandole, Lalitpur
713,Rs. 3.25 Cr,208,5.2 ,13 Feet,East,3.0,,,,,,Syuchatar, Kathmandu
714,Rs. 17 Cr,481,14.0 ,13-20 Feet,,3.5,,6.0,4.0,,,Bhaisepati, Lalitpur
716,Rs. 3.5 Cr,12.,4.1 ,20 Feet,East,2.5,,5.0,4.0,,"Marbel,Parquet,Gym,Earthquake Resistant,Drainage,Bathroom,Drinking Water,Power Backup,Internet,Modular Kitchen,Playground,+ 1 See More",Sunakothi, Lalitpur
718,Rs. 7 Cr,1.2,6.3 ,11 Feet,South,2.0,,6.0,5.0,,,Gahana Pokhari, Kathmandu
719,Rs. 8.5 Cr,383,8.0 ,32 Feet,,2.0,,4.0,4.0,,,Hattiban, Lalitpur
720,Rs. 19 Cr,373,10.2 ,13 Feet,South-West,5.0,,10.0,8.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Bed Room,Modular Kitchen,Parking,Playground,Internet,Bathroom,+ 2 See More",Tahachal, Kathmandu
721,Rs. 10.2 Cr,507,9.0 ,20 Feet,West,2.5,,5.0,4.0,,,Bhimsengola, Kathmandu
722,Rs. 9.5 Cr,436,10.0 ,13 Feet,South,2.5,,5.0,4.0,,,Battisputali, Kathmandu
723,Rs. 3.9 Cr,408,5.0 ,13 Feet,North-East,2.5,,5.0,3.0,,,Sundarbasti, Kathmandu
724,Rs. 2.7 Cr,145,3.1 ,13 Feet,South-East,2.5,,6.0,3.0,,,Besigaun, Kathmandu
725,Rs. 1.3 Cr,385,3.0 ,13 Feet,East,1.0,,2.0,1.0,,,Gorkarneshwor, Kathmandu
726,Rs. 4.05 Cr,388,5.5 ,13 Feet,North-East,2.0,,4.0,3.0,,,Kusunti, Lalitpur
727,Rs. 3.3 Cr,393,6.0 ,13 Feet,South-East,2.5,,6.0,4.0,,,Pasikot, Kathmandu
728,Rs. 6.25 Cr,567,6.2 ,15 Feet,North-East,2.5,,6.0,6.0,,,Budhanilkantha, Kathmandu
729,Rs. 1.8 Cr,449,3.0 ,20 Feet,South,2.5,,,,,,Lamatar, Lalitpur
730,Rs. 3.2 Cr,501,3.1 ,10-16 Feet,North-East,3.5,,,,,,Shankhamul, Kathmandu
731,Rs. 3.3 Cr,776,4.2 ,13 Feet,South-East,2.5,,8.0,6.0,,,Sanagaun, Lalitpur
732,Rs. 2.05 Cr,416,3.0 ,10 Feet,,2.5,,4.0,3.0,,,Baniyatar, Kathmandu
734,Rs. 5 Cr,238,7.0 ,13 Feet,South,2.5,,4.0,4.0,,,Bansbari, Kathmandu
735,Rs. 2.6 Cr,184,3.3 ,13 Feet,North-East,2.5,,5.0,3.0,,,Imadol, Lalitpur
736,Rs. 2.35 Cr,272,3.1 ,13 Feet,North,2.5,,3.0,4.0,,,Imadol, Lalitpur
737,Rs. 7 Cr,307,9.1 ,10 Feet,East,4.5,,12.0,4.0,,,Satdobato, Lalitpur
738,Rs. 2.95 Cr,161,3.3 ,15 Feet,West,3.0,,,,,,Samakhushi chowk, Kathmandu
739,Rs. 9.5 Cr,879,17.0 ,17 Feet,,3.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
740,Rs. 3.25 Cr,351,4.0 ,13 Feet,East,2.5,,11.0,2.0,,,Gaushala, Kathmandu
742,Rs. 3.2 Cr,324,4.0 ,20 Feet,North,2.5,,4.0,4.0,,,Goldhunga, Kathmandu
743,Rs. 12.5 Cr,598,18.0 ,15 Feet,East,2.5,,5.0,5.0,,,Budhanilkantha, Kathmandu
744,Rs. 3.25 Cr,324,3.5 ,14 Feet,South-West,2.5,,5.0,5.0,,,Ganesh Chowk, Kathmandu
745,Rs. 16 Cr,274,16.0 ,20 Feet,,,,,,,,Samakhusi, Kathmandu
746,Rs. 5.5 Cr,738,8.0 ,12 Feet,West,2.5,,,,,,Dhumbarahi, Kathmandu
747,Rs. 2.2 Cr,254,4.0 ,12-18 Feet,East,2.5,,,,,,Goldhunga, Kathmandu
748,Rs. 13 Cr,107,16.0 ,20 Feet,,3.5,,,,,,Ranibari, Kathmandu
749,Rs. 2.5 Cr,3.3,3.1 ,16 Feet,North-East,2.5,,4.0,3.0,,,Nagarjun, Kathmandu
750,Rs. 5.25 Cr,159,7.2 ,14 Feet,North-East,2.5,,,,,,Narayanthan , Kathmandu
751,Rs. 3.15 Cr,262,4.1 ,12-18 Feet,South,2.5,,,,,,Bhangal , Kathmandu
752,Rs. 2.9 Cr,317,2.3 ,20 Feet,East,2.5,,,2.0,,,Pepsicola, Kathmandu
753,Rs. 19 Cr,671,16.0 ,18 Feet,,3.0,,5.0,5.0,,,Sanepa, Lalitpur
754,Rs. 4.1 Cr,235,5.2 ,13 Feet,South-West,3.0,,5.0,4.0,,,Wasik, Kathmandu
755,Rs. 4.5 Cr,204,7.0 ,12-18 Feet,East,2.5,,4.0,3.0,,,Sukedhara, Kathmandu
756,Rs. 5 Cr,285,5.2 ,20 Feet,South-West,2.5,,4.0,3.0,,,Thaiba, Lalitpur
757,Rs. 9.5 Cr,363,11.0 ,14-20 Feet,North-West,2.5,,6.0,4.0,,,Katunje, Bhaktapur
758,Rs. 4.75 Cr,698,6.1 ,12-18 Feet,South-East,2.5,,3.0,4.0,,,Dhapasi, Kathmandu
759,Rs. 8.75 Cr,129,6.3 ,20+ Feet,South,3.5,,7.0,6.0,,,Basundhara, Kathmandu
760,Rs. 3.5 Cr,254,5.0 ,10 Feet,East,3.5,,,,,,Bhaisepati, Lalitpur
761,Rs. 1.4 Cr,216,3.0 ,13 Feet,West,2.5,,,2.0,,,Thankot, Kathmandu
762,Rs. 5.35 Cr,172,8.1 ,12 Feet,North-West,4.0,,8.0,4.0,,,Narayantar, Kathmandu
763,Rs. 3.9 Cr,352,4.0 ,14 Feet,South,2.5,,6.0,4.0,,,Sukedhara, Kathmandu
764,Rs. 3.5 Cr,253,4.0 ,22 Feet,,3.0,,,,,,Ranibari, Kathmandu
765,Rs. 2.5 Cr,182,3.2 ,10 Feet,West,2.5,,5.0,,,,Goldhunga, Kathmandu
767,Rs. 2.9 Cr,100,3.0 ,13 Feet,East,2.5,,,,,,Sundarbasti, Kathmandu
769,Rs. 3.5 Cr,158,4.0 ,12-15 Feet,South,2.5,,,,,,Sitapaila, Kathmandu
770,Rs. 3.1 Cr,178,4.2 ,12-15 Feet,West,3.5,,,,,,Kapan, Kathmandu
771,Rs. 3.15 Cr,146,4.0 ,13 Feet,,2.5,,,,,,Baluwakhani, Kathmandu
772,Rs. 2.65 Cr,166,3.3 ,13 Feet,East,2.0,,,,,,Tenzing Chowk, Kathmandu
773,Rs. 3.5 Cr,297,5.0 ,14 Feet,,2.5,,,,,,Sukedhara, Kathmandu
775,Rs. 5.5 Cr,199,11.0 ,15 Feet,East,2.5,,4.0,5.0,,,Narayanthan , Kathmandu
776,Rs. 4.9 Cr,231,5.1 ,13 Feet,East,2.5,,5.0,6.0,,,Rudreshwor, Kathmandu
777,Rs. 2.85 Cr,316,4.0 ,13 Feet,,2.5,,7.0,4.0,,,Bafal, Kathmandu
779,Rs. 1.47 Cr,292,3.0 ,12-15 Feet,North,2.5,,,,,,Imadol, Lalitpur
781,Rs. 1.85 Cr,275,2.3 ,15 Feet,East,2.5,,,,,,Gwarko, Lalitpur
782,Rs. 1.47 Cr,478,3.0 ,12-15 Feet,South,1.0,,,,,,Imadol, Lalitpur
783,Rs. 2.1 Cr,319,3.0 ,16 Feet,North,2.5,,,,,,Gothatar, Kathmandu
784,Rs. 1.75 Cr,350,2.2 ,12 Feet,South,2.5,,,,,,Tikathali, Lalitpur
785,Rs. 2.7 Cr,247,4.0 ,12-15 Feet,South,2.5,,,,,,Tikathali, Lalitpur
786,Rs. 55 Lac/aana,1.6,14.0 ,36 Feet,,,,,,,,Sitapaila, Kathmandu
787,Rs. 2.2 Cr,1.8,3.0 ,10 Feet,South,2.5,,,,,,Basanti Chowk, Kathmandu
788,Rs. 2.2 Cr,688,3.0 ,26 Feet,,2.5,,,,,,Tindhara, Kathmandu
789,Rs. 2.4 Cr,1.1,3.0 ,10 Feet,,2.5,,,,,,Buddha Chowk, Kathmandu
790,Rs. 8.8 Cr,365,12.0 ,12-18 Feet,,2.5,,6.0,3.0,,,Bansbari, Kathmandu
791,Rs. 3.65 Cr,208,6.2 ,13 Feet,North-East,3.0,,4.0,3.0,,,Hattigaunda, Kathmandu
792,Rs. 2.6 Cr,302,4.0 ,13-20 Feet,North,2.5,,,,,,Bhangal , Kathmandu
793,Rs. 2.7 Cr,280,3.3 ,13 Feet,East,2.5,,6.0,4.0,,,Dhapakhel, Lalitpur
794,Rs. 2.2 Cr,236,3.1 ,32 Feet,West,2.5,,,,,,Sundarbasti, Kathmandu
795,Rs. 2.1 Cr,366,4.0 ,20 Feet,East,3.0,,,,,,Mulpani, Kathmandu
796,Rs. 3.3 Cr,197,4.0 ,12-15 Feet,West,2.5,,5.0,4.0,,,Dholahiti, Lalitpur
798,Rs. 3.99 Cr,270,5.0 ,13 Feet,East,2.5,,,,,,Sundarbasti, Kathmandu
799,Rs. 2.8 Cr,413,3.0 ,13 Feet,North,3.5,,8.0,4.0,,,Lokanthali, Bhaktapur
800,Rs. 1.35 Cr,363,2.2 ,12 Feet,South-West,2.5,,,3.0,,,Mulpani, Kathmandu
801,Rs. 7.5 Cr,171,13.0 ,20 Feet,East,2.0,,,,,,Thankot, Kathmandu
802,Rs. 2.4 Cr,215,3.0 ,13/16 Feet,North-West,3.0,,7.0,3.0,,,Birendra Chowk, Kathmandu
803,Rs. 2.7 Cr,364,3.1 ,13 Feet,South,3.0,,5.0,4.0,,,Gwarko, Lalitpur
804,Rs. 4.65 Cr,670,4.0 ,13-15 Feet,South-East,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
805,Rs. 2 Cr,1.3,5.1 ,26 Feet,South,3.0,,3.0,3.0,,,Matatirtha, Kathmandu
806,Rs. 3.6 Cr,212,7.0 ,20 Feet,North-East,2.5,,5.0,2.0,,,Imadol, Lalitpur
809,Rs. 3 Cr,332,3.0 ,12 Feet,West,2.0,,5.0,4.0,,,Bhaisepati, Lalitpur
810,Rs. 5.1 Cr,225,5.0 ,20 Feet,West,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
811,Rs. 2.98 Cr,210,4.1 ,13 Feet,,3.0,,,,,,Kapan, Kathmandu
812,Rs. 13 Cr,282,1.3 ,12 Feet,South,2.5,,7.0,4.0,,,Mahalaxmisthan, Lalitpur
813,Rs. 4.8 Cr,414,8.3 ,12-18 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
814,Rs. 21 Cr,641,18.0 ,20 Feet,East,2.5,,6.0,5.0,,,Bhaisepati, Lalitpur
815,Rs. 2.35 Cr,214,3.0 ,13 Feet,East,2.5,,5.0,3.0,,,Imadol, Lalitpur
816,Rs. 7 Cr,205,10.0 ,13 Feet,South,4.5,,13.0,9.0,,,Satdobato, Lalitpur
817,Rs. 2.5 Cr,1k ,3.2 ,13 Feet,South,2.5,,6.0,2.0,,,Syuchatar, Kathmandu
818,Rs. 4 Cr,188,5.0 ,5-8 Feet,North,2.0,,5.0,2.0,,,Tinthana, Kathmandu
819,Rs. 3.2 Cr,107,3.2 ,9-12 Feet,West,3.0,,8.0,4.0,,,Kumarigal, Kathmandu
820,Rs. 2 Cr,124,3.1 ,5-8 Feet,South,2.0,,,,,,Chandragiri, Kathmandu
821,Rs. 2.2 Cr,273,6.2 ,13-20 Feet,North,3.0,,,,,,Jhaukhel, Bhaktapur
822,Rs. 11.5 Cr,329,18.0 ,13 Feet,South-West,2.5,,5.0,4.0,,,Budhanilkantha, Kathmandu
823,Rs. 8 Cr,213,10.0 ,13 Feet,West,3.0,,6.0,5.0,,,Tripureshwor, Kathmandu
824,Rs. 2.95 Cr,455,4.2 ,16 Feet,South,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
826,Rs. 40 Cr,168,15.0 ,10 Feet,South-West,7.0,,,,,,Anamnagar, Kathmandu
827,Rs. 27 Lac/aana,162,5.2 ,13 Feet,,,,,,,,Naya Naikap, Kathmandu
829,Rs. 4.8 Cr,588,8.2 ,13 Feet,North-East,3.0,,7.0,5.0,,,Purano Naikap, Kathmandu
831,Rs. 3.15 Cr,180,5.0 ,13 Feet,East,2.5,,5.0,5.0,,,Sitapaila, Kathmandu
832,Rs. 2.6 Cr,568,4.2 ,18 Feet,East,2.5,,5.0,4.0,,,Dhapakhel, Lalitpur
833,Rs. 1.85 Cr,249,3.2 ,10-14 Feet,North-West,2.5,,,,,,Thankot, Kathmandu
834,Rs. 3.9 Cr,499,5.0 ,13-20 Feet,East,2.5,,,,,,Kapan, Kathmandu
835,Rs. 6.15 Cr,140,2.2 ,20 Feet,South-East,4.5,,21.0,21.0,,,Tilganga, Kathmandu
836,Rs. 3.5 Cr,472,3.2 ,16 Feet,North,2.0,,3.0,3.0,,"Earthquake Resistant,Marbel,Parquet,Drainage,Bathroom,Drinking Water,Parking,TV,AirCon,Fridge,Washing Machine,+ 2 See More",Bhaisepati, Lalitpur
837,Rs. 2.1 Cr,250,4.0 ,20 Feet,East,2.0,,4.0,3.0,,,Mulpani, Kathmandu
838,Rs. 2.2 Cr,251,3.1 ,32 Feet,West,2.5,,,,,,Mandikhatar, Kathmandu
839,Rs. 2.3 Cr,1.5,3.2 ,10 Feet,South,2.5,,5.0,3.0,,,Jorpati, Kathmandu
840,Rs. 2 Cr,2.4,3.1 ,20 Feet,,2.0,,,,,,Nil Barahi Mandir, Bhaktapur
841,Rs. 5.75 Cr,2.3,9.1 ,10 Feet,West,2.5,,,,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,CC Camera,Solar,Microwave,Dining Room,Water Purifier,Washing Machine,+ 9 See More",Balaju, Kathmandu
842,Rs. 1.2 Cr,2.5,2.3 ,4 Feet,North-East,2.5,,3.0,,,,Sitapaila, Kathmandu
843,Rs. 2 Cr,1.2,3.1 ,10 Feet,North,2.5,,4.0,2.0,,,Naikap, Kathmandu
844,Rs. 3 Cr,1.6,4.0 ,10 Feet,East,2.5,,,,,,Machhapokhari, Kathmandu
845,Rs. 3 Cr,1.9,3.2 kattha,13 Feet,South,3.0,,6.0,3.0,,,Rai Chowk, Kathmandu
846,Rs. 3.65 Cr,448,4.2 ,20 Feet,North-East,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
847,Rs. 3 Cr,181,3.2 ,12 Feet,North,2.5,,6.0,4.0,,,Bhangal , Kathmandu
851,Rs. 3.1 Cr,116,3.2 ,20 Feet,,3.5,,,,,,Kageshwari Manohara, Kathmandu
852,Rs. 13 Cr,187,10.0 kattha,14 Feet,South-West,2.5,,4.0,4.0,,,Bishalnagar, Kathmandu
853,Rs. 9.5 Cr,336,14.0 ,40 Feet,North,3.0,,9.0,10.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Water Purifier,Garden,Iron,Modular Kitchen,Parking,Playground,+ 3 See More",Simaltar, Kathmandu
854,Rs. 4.25 Cr,453,6.0 ,12-18 Feet,East,2.5,,3.0,3.0,,,Sunakothi, Lalitpur
855,Rs. 5 Cr,154,4.2 ,36 Feet,North-East,3.5,,3.0,5.0,,,Pepsicola, Kathmandu
856,Rs. 5.35 Cr,367,8.0 ,13 Feet,West,2.5,,13.0,5.0,,,Budhanilkantha, Kathmandu
857,Rs. 2.6 Cr,497,3.0 ,13 Feet,East,2.5,,4.0,3.0,,,Satdobato, Lalitpur
858,Rs. 2.4 Cr,881,3.1 ,13 Feet,,2.5,,5.0,3.0,,,Bafal, Kathmandu
860,Rs. 5.5 Cr,387,5.0 ,12-20 Feet,South-West,2.5,,4.0,5.0,,,Bhaisepati, Lalitpur
861,Rs. 1.6 Cr,348,2.2 ,13-20 Feet,,2.5,,4.0,3.0,,,Imadol, Lalitpur
862,Rs. 5.7 Cr,170,10.0 ,12-16 Feet,North-West,3.0,,,,,,Ganesh Chowk, Kathmandu
863,Rs. 65 Lac/aana,512,27.0 ,15 Feet,West,2.5,,9.0,6.0,,,Budhanilkantha, Kathmandu
864,Rs. 3.6 Cr,258,4.0 ,15 Feet,West,2.5,,4.0,5.0,,,Budhanilkantha, Kathmandu
865,Rs. 2.75 Cr,183,4.0 ,12 Feet,,3.5,,,,,,Manamaiju, Kathmandu
866,Rs. 4.25 Cr,190,5.0 ,18 Feet,South,2.5,,6.0,5.0,,,Dhapasi, Kathmandu
867,Rs. 4.25 Cr,169,4.2 ,36 Feet,North-East,4.0,,16.0,4.0,,,Balkumari, Lalitpur
868,Rs. 2.7 Cr,227,3.2 ,13 Feet,North,2.5,,6.0,3.0,,,Kadaghari, Kathmandu
869,Rs. 2.85 Cr,284,3.2 ,16 Feet,East,2.5,,4.0,4.0,,,Dhapasi, Kathmandu
870,Rs. 25 Lac/aana,234,3.0 ,12 Feet,North-East,,,,,,,Lolang, Kathmandu
871,Rs. 2.9 Cr,317,4.2 ,13 Feet,East,2.5,,,,,,Tokha, Kathmandu
872,Rs. 3.65 Cr,202,4.0 ,12 Feet,South,2.5,,5.0,4.0,,,Bafal, Kathmandu
873,Rs. 3.2 Cr,297,4.2 ,20 Feet,West,2.5,,5.0,4.0,,,Nakhipot, Lalitpur
874,Rs. 3 Cr,522,4.2 ,20 Feet,East,2.5,,,,,,Goldhunga, Kathmandu
875,Rs. 7.75 Cr,374,8.1 ,20 Feet,East,3.0,,5.0,5.0,,,Italitar, Kathmandu
876,Rs. 5 Cr,301,5.1 ,16 Feet,East,3.0,,4.0,5.0,,,Rudreshwor, Kathmandu
877,Rs. 1.65 Cr,309,3.0 ,13 Feet,,1.0,,2.0,1.0,,,Imadol, Lalitpur
878,Rs. 14 Cr,199,9.0 ,26 Feet,West,6.0,,,,,,Chamati, Kathmandu
879,Rs. 2.4 Cr,351,3.0 ,13 Feet,,3.0,,4.0,4.0,,,Nakhipot, Lalitpur
880,Rs. 2.8 Cr,221,3.3 ,13 Feet,North-East,3.0,,5.0,3.0,,,Chapali, Kathmandu
881,Rs. 9.2 Cr,340,10.0 ,20 Feet,South-East,2.5,,6.0,5.0,,,Phulbari Colony, Kathmandu
882,Rs. 3.5 Cr,142,4.0 kattha,13 Feet,West,3.5,,7.0,4.0,,,Jarankhu, Kathmandu
884,Rs. 1.2 Lac/m,136,4.0 ,13 Feet,South,2.5,,3.0,4.0,,,Jawalakhel, Lalitpur
885,Rs. 1.25 Cr/aana,316,24.0 ,13 Feet,South-East,3.0,,8.0,6.0,,,Charkhal, Kathmandu
886,Rs. 3.65 Cr,242,6.1 ,14 Feet,,2.5,,7.0,7.0,,,Hattigaunda, Kathmandu
887,Rs. 4.5 Cr,257,5.0 ,15 Feet,North-East,2.5,,6.0,5.0,,,Hattigaunda, Kathmandu
888,Rs. 2 Cr,227,8.0 ,16 Feet,,2.5,,8.0,,,,Matatirtha, Kathmandu
889,Rs. 7.2 Cr,224,8.0 ,20 Feet,West,2.5,,7.0,5.0,,,Balkhu, Kathmandu
890,Rs. 3.5 Cr,214,2.3 ,12-18 Feet,,3.0,,,,,,Baneshwor, Kathmandu
891,Rs. 3 Cr,212,4.2 ,8 Feet,North,2.5,,,,,,Taukhel, Lalitpur
892,Rs. 65 Lac/aana,329,27.0 ,13 Feet,South,2.5,,6.0,5.0,,,Mandikhatar, Kathmandu
894,Rs. 4.5 Cr,333,4.3 ,13 Feet,South,2.5,,5.0,4.0,,,Deuwa chowk, Kathmandu
895,Rs. 4.5 Cr,195,5.0 ,13 Feet,North,3.0,,6.0,4.0,,,Hattigaunda, Kathmandu
896,Rs. 3.95 Cr,220,5.0 ,13 Feet,East,2.5,,4.0,4.0,,,Nakkhu, Lalitpur
897,Rs. 4.5 Cr,438,4.2 ,20 Feet,South-West,3.0,,3.0,3.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Microwave,Dining Room,Solar,CC Camera,Water Purifier,Washing Machine,+ 12 See More",Hepali Height, Kathmandu
899,Rs. 4.1 Cr,157,4.0 ,20 Feet,South-East,3.0,,5.0,4.0,,,Dhapasi, Kathmandu
900,Rs. 3.8 Cr,399,3.3 ,13 Feet,East,3.0,,4.0,4.0,,,Bhaisepati, Lalitpur
901,Rs. 3.75 Cr,153,4.0 ,13 Feet,East,3.0,,6.0,4.0,,,Dhapasi, Kathmandu
902,Rs. 6.5 Cr,253,6.2 ,14 Feet,East,2.5,,6.0,7.0,,,Hattigaunda, Kathmandu
903,Rs. 9 Cr,235,8.0 ,20 Feet,South,2.0,,4.0,5.0,,,Hattiban, Lalitpur
904,Rs. 2.49 Cr,161,2.3 ,20 Feet,North,2.5,,3.0,3.0,,,Balkhu, Lalitpur
905,Rs. 4.5 Cr,452,5.0 ,16 Feet,South,2.0,,4.0,4.0,,,Bhaisepati, Lalitpur
906,Rs. 1.4 Cr,235,3.2 ,12-16 Feet,West,2.0,,3.0,2.0,,,Bhaktapur, Bhaktapur
907,Rs. 5.95 Cr,228,6.0 ,13 Feet,South,3.0,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Sofa,Fridge,Microwave,Dining Room,Solar,CC Camera,Water Purifier,Washing Machine,+ 10 See More",Rudreshwor, Kathmandu
908,Rs. 3.5 Cr,167,4.0 ,13 Feet,,3.5,,,,,,Jarankhu, Kathmandu
909,Rs. 3 Cr,175,4.3 ,12 Feet,West,2.5,,5.0,4.0,,,Paiyuntar, Kathmandu
910,Rs. 5 Cr,338,5.1 ,15 Feet,East,2.5,,4.0,5.0,,,Budhanilkantha, Kathmandu
911,Rs. 4.5 Cr,198,5.2 ,13 Feet,South-West,2.5,,5.0,4.0,,,Ganesh Chowk, Kathmandu
912,Rs. 4.65 Cr,359,4.2 ,20+ Feet,South-West,2.5,,4.0,4.0,,,Hattiban, Lalitpur
