price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
"Rs. 1,80,00,000 (Negotiable)
(One crore eighty lakh )",0-3-0-0,0-3-0-0,,5,3,3,3,2.5,"KAPAN, KATHMANDU, NEPAL",10 FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02630,2 YEARS AGO,4030,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-kapan-2630,50M,,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-5-0-0,,,9,,4,6,3.5,"BALAJU, MACHAPOKHARI, KATHMANDU, NEPAL",22 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02955,2 YEARS AGO,2255,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-balaju-2955,,,,
"Rs. 2,35,00,000 (Negotiable)
(Two crore thirty five lakh )",0-3-0-2,,,5,2,2,,2.5,"IMADOL NAYA BASTI, LALITPUR, NEPAL",16 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10397,4 MONTHS AGO,105,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-naya-basti-10397,,IMADOL POLICE STATION NEAR,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-3-0-0,,,5,1,1,5,3.5,"BHAISEPATI,SAINBU, LALITPUR, NEPAL",13 FT,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09320,1 YEAR AGO,2189,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-manjushree-colony-sainbu-bhaisepati-9320,100M,20 METER,,
"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-4-0-0,2159 SQUARE FEET,,4,1,1,2,2,"BALKOT, BHAKTAPUR, BHAKTAPUR, NEPAL",10 FT.,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07789,2 YEARS AGO,4903,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-balkot-7789,,NEAR FORCE PARK BUS STOP,,
"Rs. 41,00,000 (Negotiable)
(41 lakh per anna)",0-4-0-0,,,,,,,,"NEAR NAYA BUS PARK, KATHMANDU, NEPAL",20,EAST,LAND (RESIDENTIAL),NONE,GB05412,5 YEARS AGO,3384,,https://www.gharbazar.com/property/details/commercial-land-at-gongbu-5412,500M,,,
,0-,,,2,1,1,,2.5,"KALIKASTHAN, KATHMANDU, NEPAL",10FT/ 20FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10339,5 MONTHS AGO,67,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-kalikasthan-10339,,10 METERS,,
"Rs. 95,00,000 (Negotiable)
(Ninety five lakh )",0-3-3-0,6011 SQUARE FEET,,2,1,1,1,1.5,"SCHOOL CHOWK, IMADOL, LALITPUR, NEPAL",18 FEET,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06552,3 YEARS AGO,7290,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-6552,60M,,,
"Rs. 1,10,000 (Negotiable)
(One lakh ten thousand per month)",0-4-2-0,1180 SQUARE FEET,,3,2,1,3,2.5,"SCENIC HOUSING, LALITPUR, NEPAL",20,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07562,3 YEARS AGO,11673,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-thaiba-7562,50M,,,
"Rs. 50,00,000
(Fifty lakh )",0-11-0-0,,,,,,,,"BAFAL, SITAPAILA, KATHMANDU, NEPAL",20 FT,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB10627,1 MONTH AGO,1192,,https://www.gharbazar.com/property/details/land-and-truss-at-bafal-sitapaila-10627,400M,,,
