,price,LAND AREA,HOUSE AREA,Unnamed: 3,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA,District
340,"Rs. 1,50,00,000 (Negotiable)
(One crore fifty lakh )",0-4-0-0,,,2.0,1.0,1.0,1.0,1.0,KAGESHWORI MANAHARA NAGARPALIKA-3,12 FEET,NONE,HOUSE (RESIDENTIAL),WALL BEARING,GB10000,7 MONTHS AGO,129,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-kageshwori-manahara-nagarpalika-3-10000,,,,, KATHMANDU
341,"Rs. 2,45,00,000 (Negotiable)
(Two crore forty five lakh )",0-3-3-0,,,6.0,2.0,2.0,4.0,2.5, GAIRIGAUN,14 FEET,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06500,4 YEARS AGO,2840,SEMI FURNISHED,https://www.gharbazar.com/property/details/house-at-thulobharyang-6500,1000M,,,, KATHMANDU
342,"Rs. 36,00,000 (Negotiable)
(Thirty six lakh per aana)",243 SQUARE METER,,,,,,,,KAUNDHAR,16 FT,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB09100,1 YEAR AGO,3599,,https://www.gharbazar.com/property/details/land-at-kundahar-pokhara-9100,40M,40,,, KASKI
343,"Rs. 3,50,000 (Negotiable)
(Three lakh fifty thousand per dhur)",40 DHUR,40 DHUR,,,,,,,ITAHARI,90 FEET WIDTH 58 FEET LENTH,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10322,5 MONTHS AGO,84,,https://www.gharbazar.com/property/details/land-at-itahari-10322,,WARD OFFICE ROAD,,, SUNSARI
344,"Rs. 35,00,000 (Negotiable)
(35 lakh per anna)",0-8-0-0,,,,,,,,KOTESHWOR,13 FT,,LAND (RESIDENTIAL),NONE,GB02980,7 YEARS AGO,2053,,https://www.gharbazar.com/property/details/land-house-at-koteshwor-2980,,NEAR ADVANCE ACADEMY,,, KATHMANDU
345,"Rs. 90,000
(Ninety thousand )",3 KATTHA,,,4.0,2.0,2.0,,2.0,HETAUDA,14,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10451,4 MONTHS AGO,49,,https://www.gharbazar.com/property/details/house-at-hetauda-10451,,NEAR BHAIRAB MANDIR,,, KATHMANDU
346,"Rs. 2,20,000 (Negotiable)
(2 lak 20 thousand per dhur)",10 DHUR,,,,,,,, BHAIRAHAWA,12 FEET,EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04402,6 YEARS AGO,1709,,https://www.gharbazar.com/property/details/land-at-bhairahawa-4402,,,,, RUPANDEHI
347,"Rs. 22,00,000 (Negotiable)
(Twenty Two Lakhs Per Aana)",0-5-1-0,,,,,,,,NEAR GENIUS SCHOOL,13 FT GRAVEL,EAST,LAND (RESIDENTIAL),NONE,GB05818,5 YEARS AGO,3640,,https://www.gharbazar.com/property/details/land-at-nakhipot-height-5818,150M,,,, LALITPUR
348,"Rs. 4,00,000 (Negotiable)
(Four lakh per anna)",5-8-0-0,,,,,,,,BANEPA,20 FEET,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB07542,2 YEARS AGO,722,,https://www.gharbazar.com/property/details/land-at-banepa-7542,,,,, KAVRE
349,"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",1-7-2-0,2100 SQUARE FEET,,6.0,1.0,1.0,,2.5,SAGARMATHA AYURVEDIC UDHYOG  NAYAPATI  GOKARNESHWOR,18 FT,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06472,1 YEAR AGO,4484,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-nayapati-gokarneshwor-6472,800M,,,, KATHMANDU
